Departure Date, Return Date, Origin, Destination, Carrier, Price, Connections, Total Flight Time
2015-03-17,2015-03-24,DSM,ABQ,"US Airways, Inc.",227.60,1,353
2015-03-17,2015-03-24,DSM,ANC,"US Airways, Inc.",682.50,1,632
2015-03-17,2015-03-24,DSM,ATL,"US Airways, Inc.",199.60,1,290
2015-03-17,2015-03-24,DSM,AUS,"Frontier Airlines, Inc.",158.60,1,285
2015-03-17,2015-03-24,DSM,BDL,"US Airways, Inc.",280.60,1,248
2015-03-17,2015-03-24,DSM,BNA,"US Airways, Inc.",206.60,1,206
2015-03-17,2015-03-24,DSM,BOS,"US Airways, Inc.",213.60,1,264
2015-03-17,2015-03-24,DSM,BUF,"US Airways, Inc.",196.60,1,237
2015-03-17,2015-03-24,DSM,BUR,"United Airlines, Inc.",262.60,1,331
2015-03-17,2015-03-24,DSM,BWI,"US Airways, Inc.",217.60,1,236
2015-03-17,2015-03-24,DSM,CLE,"US Airways, Inc.",189.60,1,207
2015-03-17,2015-03-24,DSM,CLT,"US Airways, Inc.",153.60,1,288
2015-03-17,2015-03-24,DSM,CMH,"US Airways, Inc.",204.60,1,182
2015-03-17,2015-03-24,DSM,CVG,"US Airways, Inc.",433.60,1,295
2015-03-17,2015-03-24,DSM,DCA,"US Airways, Inc.",233.10,0,137
2015-03-17,2015-03-24,DSM,DEN,"Frontier Airlines, Inc.",82.10,0,107
2015-03-17,2015-03-24,DSM,DFW,"Frontier Airlines, Inc.",168.60,1,265
2015-03-17,2015-03-24,DSM,DTW,"US Airways, Inc.",202.60,1,228
2015-03-17,2015-03-24,DSM,EWR,"US Airways, Inc.",212.60,1,235
2015-03-17,2015-03-24,DSM,FLL,"US Airways, Inc.",213.60,1,396
2015-03-17,2015-03-24,DSM,HNL,"US Airways, Inc.",652.49,1,727
2015-03-17,2015-03-24,DSM,HOU,"US Airways, Inc.",216.60,1,265
2015-03-17,2015-03-24,DSM,IAD,"United Airlines, Inc.",216.60,1,256
2015-03-17,2015-03-24,DSM,IAH,"US Airways, Inc.",216.60,1,265
2015-03-17,2015-03-24,DSM,IND,"US Airways, Inc.",199.60,1,245
2015-03-17,2015-03-24,DSM,JAX,"US Airways, Inc.",243.60,1,338
2015-03-17,2015-03-24,DSM,JFK,"US Airways, Inc.",267.60,1,310
2015-03-17,2015-03-24,DSM,LAS,"Frontier Airlines, Inc.",128.60,1,269
2015-03-17,2015-03-24,DSM,LAX,"US Airways, Inc.",158.60,1,413
2015-03-17,2015-03-24,DSM,LGA,"US Airways, Inc.",220.60,1,262
2015-03-17,2015-03-24,DSM,MCI,"Frontier Airlines, Inc.",148.60,1,255
2015-03-17,2015-03-24,DSM,MCO,"US Airways, Inc.",214.60,1,314
2015-03-17,2015-03-24,DSM,MEM,"US Airways, Inc.",166.60,1,242
2015-03-17,2015-03-24,DSM,MIA,"Frontier Airlines, Inc.",160.60,1,545
2015-03-17,2015-03-24,DSM,MKE,"Frontier Airlines, Inc.",188.60,1,301
2015-03-17,2015-03-24,DSM,MSP,"US Airways, Inc.",186.60,1,272
2015-03-17,2015-03-24,DSM,MSY,"US Airways, Inc.",201.60,1,303
2015-03-17,2015-03-24,DSM,OAK,"US Airways, Inc.",493.60,1,367
2015-03-17,2015-03-24,DSM,OGG,"US Airways, Inc.",610.49,1,718
